,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,Balancing,ATE_error
42_1,4802.0,0.05096981636202825,0.013048671646306903,1.3017931858705367e-05,0.03773768348213358,0.05505385768787402,0.060557635814117494,0.19573450050934604,0.21890863096338142,lr,lr_model,,2.6852768600035395,0.08214961662160802,0.12416574882707376
42_1,4802.0,0.049943597063264074,0.010039165568176661,0.0001022595542137239,0.04449141425836223,0.0525750674199289,0.05623603062549383,0.15346142345098107,0.21885565946402785,lr_calibrated,lr_model,sigmoid_calib,2.659313480665289,0.0799894963156433,0.09820236948882322
42_1,4802.0,0.05923578840709255,0.041590250312886524,0.0003522275862877233,0.007456802767958015,0.061127803626809474,0.11670871165046304,0.18943427015473963,0.21743664532608797,GBT_cv,GBT_cv_model,,2.862717079955415,0.07108067585444798,0.3016059687789494
42_1,4802.0,0.0428035900579695,0.032842430713329485,2.6277229248972134e-05,0.001407580341434178,0.05001814935368154,0.08977748563963561,0.12453685397489855,0.21634677582567324,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,2.8229526850814404,0.06915553462599623,0.26184157390497464
42_1,4802.0,0.18270480171921233,0.10776120790563573,1.5156941896576903e-05,0.04536331762352061,0.17780404068309624,0.30855595086857995,0.6402550908253966,0.21193857692540305,rf_cv,rf_cv_model,,2.920547994136213,0.07839656683839306,0.3594368829597472
42_1,4802.0,0.07577236055186676,0.03651580893398533,1.6612100825819098e-05,0.019248397621658475,0.08301061430502862,0.11846902494873468,0.12375531001684092,0.18513825102294587,rf_cv_calibrated,rf_cv_model,sigmoid_calib,3.079568122601978,0.07970476747549957,0.5184570114255123
42_1,4802.0,0.04601259452213473,0.024227193064203057,2.1733769579701523e-05,0.00994851297317314,0.04573282912299009,0.080619906994154,0.08900542636882103,0.2178644607029726,identity,identity_model,,2.517741741360147,0.07062446672264633,0.04336936981631867
42_1,4802.0,0.05168939894226425,0.02264039040374809,0.006454896286365974,0.019646455890735576,0.05147204402164013,0.08568594839448697,0.0895152052102064,0.21778896553021662,identity_calibrated,identity_model,sigmoid_calib,2.6949701808962083,0.0668713213558662,0.1338590697197426
42_2,4802.0,0.04061904001975273,0.023140118594724663,9.67563570075658e-06,0.013930610178493919,0.043480542644131204,0.05642603769636101,0.3699713596211165,0.2285822114896179,lr,lr_model,,3.674053199913964,0.12031317712344812,0.10825800328175239
42_2,4802.0,0.03752244618801777,0.02086683136192223,8.693959808847573e-06,0.01059354427241448,0.04060709850577693,0.0546461467493658,0.3030946813986751,0.22840412158152135,lr_calibrated,lr_model,sigmoid_calib,3.6479015392194754,0.1170338463207229,0.0821063425872639
42_2,4802.0,0.05538246861342054,0.03461618482854348,1.078683015731663e-05,0.014928395330224279,0.0451681991985724,0.10055190610283737,0.23632921781648947,0.22404038038392207,GBT_cv,GBT_cv_model,,3.690933452821689,0.10965610719369612,0.12513825618947738
42_2,4802.0,0.029447674937661174,0.020604366306417148,2.2171713246477154e-06,0.0016038917479821446,0.03027200673892394,0.05176040928034751,0.11805981456175763,0.22255466797858278,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,3.595547417030388,0.08867312103139735,0.029752220398176377
42_2,4802.0,0.1328678060702444,0.08852069898621015,7.871067019604716e-06,0.02826383697163315,0.12442626008811947,0.24265906706869594,0.6178605382869029,0.21977954396742816,rf_cv,rf_cv_model,,3.746808746100545,0.1105107072592014,0.1810135494683336
42_2,4802.0,0.05094862366546558,0.03649642848331443,1.145752069553474e-06,0.012206713035345285,0.04415560033117102,0.10199894401037696,0.22037397906630207,0.20416553194515824,rf_cv_calibrated,rf_cv_model,sigmoid_calib,3.4758402657234098,0.05505996012449976,0.08995493090880169
42_2,4802.0,0.040789899170256785,0.013869217132327688,0.0001191991504621015,0.023752510171854924,0.04395731337403003,0.049674902950086,0.18142149743387073,0.22722195079495872,identity,identity_model,,3.620786904364271,0.1126762836565375,0.054991707732059414
42_2,4802.0,0.03452246211475186,0.010692307543014862,7.733531851727982e-05,0.020791905238463183,0.03737504884059778,0.04174566313853282,0.13640013161884582,0.2271151721590725,identity_calibrated,identity_model,sigmoid_calib,3.5637726937829997,0.10959328677194385,0.0020225028492117936
42_3,4802.0,0.027177364894346336,0.02190875541463025,1.0510821506048984e-05,0.002606286583462203,0.023902477396183064,0.058937654721137926,0.16148283117209344,0.22748152053773882,lr,lr_model,,3.287873783114066,0.12507656807519937,0.27685273802051835
42_3,4802.0,0.026099396919411495,0.02003361889945001,4.652371996538562e-06,0.002798083066089163,0.02527497601702411,0.05034347349522355,0.21673841281597261,0.22746701180571513,lr_calibrated,lr_model,sigmoid_calib,3.237403147619573,0.12386872869128453,0.22638210252602553
42_3,4802.0,0.07280568736088695,0.0628846355935045,2.9928445938742776e-05,0.006777776878894671,0.06049232356410322,0.1653025358796502,0.4677380391009377,0.21684019884043718,GBT_cv,GBT_cv_model,,3.2508914528793644,0.1239933118310275,0.23987040778581692
42_3,4802.0,0.027675247019407316,0.02195821767587028,6.391113207548926e-07,0.004271081080911488,0.023760537059337727,0.0637566024796194,0.08898326450953187,0.211650959692274,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,2.8778810906453747,0.13859645038488413,0.13313995444817284
42_3,4802.0,0.12164333302912804,0.08017055543186875,6.07506503839117e-05,0.02420669895112776,0.11282599638308893,0.22163125347783894,0.5365434283834877,0.21755121453858964,rf_cv,rf_cv_model,,3.3242781994350565,0.11938517561494336,0.313257154341509
42_3,4802.0,0.035320438441723896,0.021029461516858087,3.188186977493013e-05,0.006815650507083183,0.03264624195016008,0.06521897839341803,0.06906644115044569,0.20204087574351948,rf_cv_calibrated,rf_cv_model,sigmoid_calib,2.4898698346355266,0.13562097316224556,0.5211512104580209
42_3,4802.0,0.02283934869799605,0.011333715296054696,6.826528342052107e-06,0.003973109010183229,0.023982256667590907,0.035725830821576675,0.055044823257089176,0.22386139867391888,identity,identity_model,,3.060011261224289,0.12104498209430353,0.048990216130741615
42_3,4802.0,0.02868715487595117,0.013721724110202798,1.0667145485476759e-05,0.011011867381328182,0.029549433017389437,0.04517350297048305,0.06696811956788595,0.22377599261913883,identity_calibrated,identity_model,sigmoid_calib,3.1263120509872695,0.12045109015740645,0.11529100589372199
42_4,4802.0,0.02172280127008047,0.015581169134442246,0.00014321362174718466,0.011146358700352976,0.01803256169782591,0.039320767943520615,0.164313194362114,0.23767482621542163,lr,lr_model,,4.6962874070558005,0.07573989614346512,0.4843685392675514
42_4,4802.0,0.020766974903283174,0.012002799163628177,0.00018174011550275981,0.011823251045961635,0.015657810166606667,0.029746242504424935,0.12998927861194076,0.23762559383063078,lr_calibrated,lr_model,sigmoid_calib,4.666477862480383,0.07503073425810472,0.45455899469213357
42_4,4802.0,0.03647737973916238,0.045324747608109485,0.0016016887449510353,0.024658715167227507,0.024658715167227507,0.06287204624567444,0.5440891622262116,0.23832945423810636,GBT_cv,GBT_cv_model,,4.768304692901678,0.07255592696754731,0.5563858251134288
42_4,4802.0,0.025227079147418913,0.023293933931932242,0.0018016614905479456,0.0031390853754270642,0.029327730588561196,0.029327730588561196,0.42845276156889306,0.23662682477898708,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,4.479245844167185,0.07318588570105672,0.26732697637893565
42_4,4802.0,0.09930923406183366,0.07908699699051529,2.378584906703729e-05,0.016877175368753685,0.08461964306470504,0.19400873364977644,0.767020504881808,0.23803684417931534,rf_cv,rf_cv_model,,4.804357372399606,0.075926582300727,0.5924385046113567
42_4,4802.0,0.02587148561267797,0.016847300046490505,2.479713140379758e-07,0.0053176421247900785,0.0251337853508104,0.04500513066760247,0.12131422546754253,0.2257206191640674,rf_cv_calibrated,rf_cv_model,sigmoid_calib,3.898827983608817,0.06543568869405446,0.3130908841794322
42_4,4802.0,0.011020406563231125,0.014971536421767115,2.0704309190877623e-05,0.004186467230334334,0.008006488608547524,0.015914705062950715,0.3730636117104209,0.23820795328167674,identity,identity_model,,3.640913780377281,0.07236158628746446,0.5710050874109682
42_4,4802.0,0.020479807077477617,0.01400416369656662,0.0001457349669727881,0.01021117055357842,0.018066035452986295,0.03153404849062135,0.2754292461438277,0.23803357554524915,identity_calibrated,identity_model,sigmoid_calib,4.284278031770121,0.07283217003555328,0.07235916398187214
42_5,4802.0,0.05155951880408479,0.015156374823081173,0.030370546583692648,0.03262797218298903,0.04625118904188791,0.07139814538071448,0.0792153541160372,0.22277567313289126,lr,lr_model,,7.158413278270396,0.07429127928270715,0.0555029321098397
42_5,4802.0,0.05115945466448468,0.011073137242611752,0.031155219556284197,0.033715221785634505,0.05237539198222796,0.06274125238543875,0.08195976300516361,0.22272776172054043,lr_calibrated,lr_model,sigmoid_calib,7.163929218457086,0.07477795934829656,0.04998699192315037
42_5,4802.0,0.06703575354907973,0.03540018223812106,0.006264609649051622,0.02309590631505376,0.06427053517874015,0.10870883962582922,0.16348271297259925,0.22088857024301992,GBT_cv,GBT_cv_model,,7.168432000236843,0.07696456565200151,0.04548421014339343
42_5,4802.0,0.054789445777111326,0.0295283056739926,0.000535781140885927,0.013735947067052168,0.06341378673077303,0.09870375657799857,0.12795113955349746,0.21996468952777104,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,7.253996763949073,0.0806118369745708,0.04008055356883666
42_5,4802.0,0.215546201907253,0.12271092912750478,8.682981573415738e-06,0.05955770925137758,0.21848566946984632,0.34046253108721897,0.6332873299753943,0.21390732765122106,rf_cv,rf_cv_model,,7.148650532423957,0.07700060757651946,0.0652656779562788
42_5,4802.0,0.11152225625300893,0.03885714849993525,1.550092017055249e-05,0.05635836977804542,0.11884769657308747,0.15342328025774357,0.15459262276025343,0.18436120223151706,rf_cv_calibrated,rf_cv_model,sigmoid_calib,7.86187882390781,0.07814506228512577,0.6479626135275742
42_5,4802.0,0.06724176972756493,0.013454636672423588,6.0530518790624654e-05,0.05640234453741755,0.06838620762722558,0.07851254677344383,0.20804710600032345,0.2208963008571089,identity,identity_model,,7.018037086971766,0.08035123359850103,0.1958791234084698
42_5,4802.0,0.060476677802477924,0.01133120482607541,3.466466480117614e-05,0.0548617653442988,0.0612033007527264,0.06988182736677023,0.17232334824834483,0.22079973370066067,identity_calibrated,identity_model,sigmoid_calib,6.983472424989585,0.0799079577513297,0.23044378539065136
